AgIntensity,PopDensity,Livestock,Precipitation,DrySeason
9,1,0,2000,4
6,1.1,0,2800,0
7,3,0,3000,0
14,5.7,0,1500,3
14,7.6,0,1500,3
14,13.1,0,3000,0
5,14.9,1,4445,0
7,26,1,3277,0
20,27,0,1600,4
16,27.5,1,2000,0
10,36,0,2540,0
18,40,0,4064,3
22,50,0,1651,0
17,63,1,1651,0
20,66,1,2438,0
23,70,1,2309,0
29,78,0,1657,0
16,80,0,2350,2
35,90,0,1000,6
30,95,1,2000,3
33,99,1,2000,3
31,100,0,2090,2
30,103,1,2000,0
29,107,1,2082,0
43,110,1,2413,0
59,125,0,1778,0
70,125,0,1200,5
67,130.6,1,1500,6
85,137,1,2490,0
100,140,1,1524,3
50,143,1,2740,0
90,151,1,2000,3